Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent,Etiological Agent2,Date Outbreak Began,Date Declared Over,Active,
Ivan Franko Home,767 Royal York Rd,LTCH,Enteric,Norovirus-like,,2017-03-14,2017-03-31,N,
West Park Healthcare Centre - 3EC,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Respiratory syncytial virus,Rhinovirus,2017-03-13,2017-03-30,N,
William Osler Health System - 7 East,101 Humber College Blvd,Hospital-Acute Care,Respiratory,Respiratory syncytial virus,,2017-03-13,2017-03-19,N,
Tendercare Living Centre,1020 McNicoll Ave,LTCH,Respiratory,Influenza A (H3),Respiratory syncytial virus,2017-03-10,2017-03-20,N,
Sunnybrook Health Sciences Centre - LTSE & LTSW,2075 Bayview Ave,LTCH,Respiratory,Influenza A (H3N2),,2017-03-10,2017-03-19,N,
William Osler Health System - 7 West,101 Humber College Blvd,Hospital-Acute Care,Respiratory,Influenza A (H3),,2017-03-10,2017-03-17,N,
St. John's Rehabilitation Hospital - A1,285 Cummer Ave,Hospital-Chronic Care,Respiratory,Influenza A (H3N2),Coronavirus,2017-03-08,2017-03-24,N,
Lakeside Long Term Care Centre,150 Dunn Ave,LTCH,Respiratory,Influenza A (H3),,2017-03-07,2017-03-20,N,
Forest Hill Place,645 Castlefield Ave,Retirement Home,Respiratory,Metapneumovirus,,2017-03-06,2017-03-13,N,
St. Hilda's Towers - OCP & TCP,2339 Dufferin St,Retirement Home,Enteric,Unable to identify,,2017-03-06,2017-03-17,N,
Centre for Addiction and Mental Health - Queen Site -,1001 Queen St W - Unit 2-4,Hospital-Psychiatric,Enteric,Unable to identify,,2017-03-05,2017-03-11,N,
Kensington Gardens - South Building - 2 East,25 Brunswick Ave,LTCH,Enteric,Norovirus-like,,2017-03-04,2017-03-13,N,
Kensington Gardens - North Building - 2 East & 2 West,45 Brunswick Ave,LTCH,Enteric,Norovirus-like,,2017-03-04,2017-03-14,N,
The Annex Retirement Residence,123 Spadina Rd,Retirement Home,Enteric,Unable to identify,,2017-03-03,2017-03-16,N,
Amica At Bayview - 2nd  Fl & 4th Fl,15 Barbery Pl,Retirement Home,Respiratory,Influenza A (Not subtyped),Influenza B,2017-03-01,2017-03-17,N,
St. John's Rehabilitation Hospital - A3,285 Cummer Ave,Hospital-Chronic Care,Respiratory,Respiratory syncytial virus,,2017-02-28,2017-03-10,N,
Yee Hong Centre For Geriatric Care - Scarborough Finch -,60 Scottfield Dr - 3rd & 5th Fl,LTCH,Respiratory,Coronavirus,,2017-02-27,2017-03-12,N,
Extendicare Bayview,550 Cummer Ave,LTCH,Respiratory,Influenza A (H3),Rhinovirus,2017-02-26,2017-03-15,N,
Kensington Gardens - North Building - 2 West,25 Brunswick Ave,LTCH,Respiratory,Influenza A (H3),,2017-02-22,2017-03-01,N,
Cedarhurst Dementia Care Home,2601 Bayview Ave,Retirement Home,Enteric,Norovirus-like,,2017-02-21,2017-03-06,N,
Donway Place,8 Donway Pl E,Retirement Home,Enteric,Norovirus-like,,2017-02-21,2017-03-05,N,
Sts. Peter And Paul Residence,221 Milner Ave,Retirement Home,Respiratory,Influenza A (Not subtyped),Coronavirus,2017-02-21,2017-03-06,N,
Dom Lipa Nursing Home,52 Neilson Dr,LTCH,Enteric,Norovirus-like,,2017-02-20,2017-03-12,N,
Kennedy Lodge Nursing Home,1400 Kennedy Rd,LTCH,Respiratory,Influenza A (H3),,2017-02-19,2017-03-03,N,
West Park Healthcare Centre - 3EA,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Influenza A (H3),"Enterovirus, Metapneumovirus",2017-02-17,2017-02-27,N,
Holland Bloorview Kids Rehabilitation Hospital - 3 BIRT,150 Kilgour Rd,Hospital-Chronic Care,Enteric,Unable to identify,,2017-02-15,2017-02-19,N,
The Briton House Retirement Centre - 8th Fl North Tower,720 Mount Pleasant Rd,Retirement Home,Respiratory,Coronavirus,,2017-02-15,2017-02-24,N,
Chartwell Guildwood Retirement Residence,65 Livingston Rd,Retirement Home,Respiratory,Coronavirus,,2017-02-15,2017-02-27,N,
Sunnybrook Health Sciences Centre - LTSE,2075 Bayview Ave,LTCH,Respiratory,Respiratory syncytial virus,,2017-02-14,2017-02-23,N,
Fudger House - 3 East & 3 West,439 Sherbourne St,LTCH,Respiratory,Metapneumovirus,,2017-02-13,2017-02-21,N,
Villa Colombo - 4th Fl Fusco & 5th Fl Fidani,40 Playfair Ave,LTCH,Respiratory,Influenza A (Not subtyped),"Coronavirus, Respiratory syncytial virus",2017-02-12,2017-03-01,N,
UHN Toronto Rehabilitation Institute - University Centre -,550 University Ave - 6 South,Hospital-Chronic Care,Respiratory,Influenza A (H3),,2017-02-10,2017-02-19,N,
Kingsway Retirement Home - 2nd Fl,4251 Dundas St W,Retirement Home,Enteric,Norovirus-like,,2017-02-10,2017-02-21,N,
Mon Sheong Scarborough Long Term Care Centre,2030 McNicoll Ave,LTCH,Respiratory,Influenza A (H3),Respiratory syncytial virus,2017-02-10,2017-02-23,N,
Sunnybrook Health Sciences Centre - LGSW,2075 Bayview Ave,LTCH,Respiratory,Coronavirus,,2017-02-10,2017-02-22,N,
Deerwood Creek Care Community - 1A,70 Humberline Dr,LTCH,Respiratory,Coronavirus,,2017-02-10,2017-02-24,N,
Terrace Gardens,3705 Bathurst St,Retirement Home,Respiratory,Parainfluenza type 3,,2017-02-09,2017-02-18,N,
Castleview Wychwood Towers - 5th Fl,351 Christie St,LTCH,Respiratory,Influenza A (H3),Respiratory syncytial virus,2017-02-09,2017-03-06,N,
Extendicare Guildwood,60 Guildwood Pky,LTCH,Enteric,Norovirus-like,,2017-02-09,2017-02-27,N,
Humber Valley Terrace - 3rd Fl,95 Humber College Blvd,LTCH,Respiratory,Respiratory syncytial virus,,2017-02-09,2017-02-22,N,
Village Of Humber Heights - Weston,2245 Lawrence Ave W,LTCH,Respiratory,Influenza A (H3),,2017-02-09,2017-02-19,N,
Claremont Retirement Residence,305 Balliol St,Retirement Home,Respiratory,Respiratory syncytial virus,,2017-02-07,2017-02-21,N,
Avondale Retirement Residence,1238 Queen St E,Retirement Home,Respiratory,Influenza A (H3N2),,2017-02-07,2017-02-14,N,
McNicoll Manor/Moll Berczy Haus,1020 McNicoll Ave,Retirement Home,Enteric,Unable to identify,,2017-02-07,2017-02-21,N,
Downsview Long Term Care Centre - 1 East & 1 Centre,3595 Keele St,LTCH,Respiratory,Influenza A (H3N2),,2017-02-06,2017-02-16,N,
Retirement Suites By The Lake,2121 Kingston Rd,Retirement Home,Respiratory,Influenza A (H3),,2017-02-06,2017-02-15,N,
Weston Terrace Care Community - Units 1A & 4A,2005 Lawrence Ave W,LTCH,Respiratory,Influenza A (H3),,2017-02-06,2017-02-16,N,
Cummer Lodge - 2 North,205 Cummer Ave,LTCH,Respiratory,Respiratory syncytial virus,,2017-02-06,2017-03-03,N,
Yee Hong Centre For Geriatric Care - Scarborough Finch,60 Scottfield Dr,LTCH,Respiratory,Influenza A (H3),"Coronavirus, Respiratory syncytial virus",2017-02-05,2017-02-28,N,
Lakeshore Lodge - 2nd Fl,3197 Lakeshore Blvd W,LTCH,Respiratory,Influenza A (H3),,2017-02-03,2017-02-14,N,
Extendicare Scarborough,3830 Lawrence Ave E,LTCH,Respiratory,Influenza A (H3),,2017-02-02,2017-02-14,N,
Living Life On The Avenue,1066 Avenue Rd,Retirement Home,Enteric,Norovirus-like,,2017-02-02,2017-02-14,N,
Princess Margaret Hospital - 14A,610 University Ave,Hospital-Acute Care,Respiratory,Influenza A (H3),,2017-02-02,2017-02-10,N,
Providence Healthcare - B3 South Wing,3276 St Clair Ave E,Hospital-Chronic Care,Respiratory,Influenza A (H3),,2017-02-01,2017-02-08,N,
Bendale Acres,2920 Lawrence Ave E,LTCH,Respiratory,Influenza A (H3),,2017-01-31,2017-02-15,N,
Better Living At Thompson House,1 Overland Dr,LTCH,Respiratory,Influenza A (H3),,2017-01-31,2017-02-20,N,
L'Chaim Retirement Home,718 Sheppard Ave W,Retirement Home,Respiratory,Influenza A (H3),,2017-01-31,2017-02-05,N,
Altamont Care Community,92 Island Rd,LTCH,Enteric,Norovirus-like,,2017-01-31,2017-02-16,N,
Delmanor Prince Edward Retirement Home,4180 Dundas St W,Retirement Home,Enteric,Unable to identify,,2017-01-31,2017-02-08,N,
Tendercare Living Centre,1020 McNicoll Ave,LTCH,Enteric,Norovirus-like,,2017-01-30,2017-02-17,N,
Extendicare Guildwood,60 Guildwood Pky,LTCH,Respiratory,Influenza A (H3),Coronavirus,2017-01-28,2017-02-16,N,
The Annex - 3rd & 5th Fl,123 Spadina Rd,Retirement Home,Enteric,Unable to identify,,2017-01-27,2017-02-07,N,
Tony Stacey Centre For Veterans Care,59 Lawson Rd,LTCH,Respiratory,Influenza A (H3),Rhinovirus,2017-01-27,2017-02-17,N,
Rayoak Residence,1340 York Mills Rd,Retirement Home,Respiratory,Coronavirus,Metapneumovirus,2017-01-27,2017-02-21,N,
Gibson Long Term Care - 2nd Fl,1925 Steeles Ave E,LTCH,Respiratory,Influenza A (H3),,2017-01-26,2017-02-08,N,
Toronto Western Hospital - 9A,399 Bathurst St,Hospital-Acute Care,Respiratory,Influenza A (H3),,2017-01-25,2017-02-03,N,
"Copernicus Lodge - 1 North, 2 North & 3 South",66 Roncesvalles Ave,LTCH,Enteric,Norovirus-like,,2017-01-25,2017-02-26,N,
Midland Gardens Care Community,130 Midland Ave,LTCH,Respiratory,Respiratory syncytial virus,,2017-01-25,2017-03-04,N,
St. Joseph's Health Centre - 2LM,30 The Queensway,Hospital-Acute Care,Respiratory,Influenza A (Not subtyped),,2017-01-25,2017-02-02,N,
Sunnybrook Health Sciences Centre - K3E,2075 Bayview Ave,LTCH,Respiratory,Coronavirus,,2017-01-24,2017-02-04,N,
St. Joseph's Health Centre - 6M,30 The Queensway,Hospital-Acute Care,Respiratory,Influenza A (Not subtyped),,2017-01-24,2017-02-03,N,
"Fudger House - 2E, 3E, 2W & 3W",439 Sherbourne St,LTCH,Respiratory,Influenza A (H3),"Adenovirus, Metapneumovirus",2017-01-24,2017-02-13,N,
Castleview Wychwood Towers - 7th Fl,351 Christie St,LTCH,Respiratory,Influenza A (H3),,2017-01-23,2017-02-01,N,
Norfinch Care Community - 1A,22 Norfinch Dr,LTCH,Respiratory,Respiratory syncytial virus,Parainfluenza type 1,2017-01-23,2017-02-01,N,
Sts. Peter And Paul Residence,221 Milner Ave,Retirement Home,Respiratory,Influenza A (H3),Coronavirus,2017-01-23,2017-02-09,N,
Elm Grove Living Centre - 1st & 2nd Fl,35 Elm Grove Ave,LTCH,Respiratory,Influenza A (H3),,2017-01-23,2017-02-03,N,
Michael Garron Hospital - F3,825 Coxwell Ave,Hospital-Acute Care,Respiratory,Respiratory syncytial virus,,2017-01-22,2017-02-01,N,
North York General Hospital - General Division - 5 West,4001 Leslie St,Hospital-Acute Care,Respiratory,Influenza A (H3),,2017-01-22,2017-01-30,N,
Shepherd Terrace Retirement Residence,5758 Sheppard Ave E,Retirement Home,Enteric,Norovirus-like,,2017-01-21,2017-03-04,N,
Bridgepoint Active Healthcare - 2 South,1 Bridgepoint Dr,Hospital-Chronic Care,Respiratory,Respiratory syncytial virus,,2017-01-20,2017-01-24,N,
Cummer Lodge,205 Cummer Ave,LTCH,Respiratory,Influenza A (H3),Coronavirus,2017-01-20,2017-02-09,N,
North Park Nursing Home - 1st Fl,450 Rustic Rd,LTCH,Respiratory,Respiratory syncytial virus,,2017-01-20,2017-01-27,N,
Valleyview Residence - 4th Fl,541 Finch Ave W,LTCH,Respiratory,Unable to identify,,2017-01-20,2017-02-07,N,
Gibson Retirement Residence,1955 Steeles Ave E,Retirement Home,Enteric,Norovirus-like,,2017-01-20,2017-02-03,N,
Humber Valley Terrace,95 Humber College Blvd,LTCH,Respiratory,Influenza A (H3),,2017-01-20,2017-02-04,N,
Carefree Lodge,306 Finch Ave E,LTCH,Respiratory,Influenza A (H3),,2017-01-20,2017-02-07,N,
Harmony Hills Care Community,1800 O'Connor Dr,LTCH,Enteric,Norovirus-like,,2017-01-20,2017-02-10,N,
Sunnybrook Health Sciences Centre  - LGSE,2075 Bayview Ave,LTCH,Respiratory,Influenza A (H3N2),Coronavirus,2017-01-19,2017-02-09,N,
Sunnybrook Health Sciences Centre - LGSW,2075 Bayview Ave,LTCH,Respiratory,Influenza A (H3N2),Coronavirus,2017-01-19,2017-02-02,N,
Sunnybrook Holland Orthopaedic & Arthritic Centre -,43 Wellesley St E - 17E Holland Centre,Hospital-Chronic Care,Respiratory,Influenza A (H3N2),,2017-01-19,2017-02-01,N,
William Osler Health System - 7 West,101 Humber College Blvd,Hospital-Acute Care,Respiratory,Influenza A (H3),,2017-01-19,2017-01-27,N,
Sunnybrook Health Sciences Centre - LSSE,2075 Bayview Ave,LTCH,Respiratory,Influenza A (H3N2),,2017-01-19,2017-01-29,N,
Harold and Grace Baker Centre - C Wing,1 Northwestern Ave,LTCH,Respiratory,Influenza A (H3),Coronavirus,2017-01-18,2017-01-22,N,
Wesburn Manor - 2nd & 3rd Fl,400 The West Mall,LTCH,Respiratory,Influenza A (H3),Respiratory syncytial virus,2017-01-18,2017-02-09,N,
St. Joseph's Health Centre - 6G,30 The Queensway,Hospital-Acute Care,Respiratory,Influenza A (H3),,2017-01-18,2017-01-29,N,
Yee Hong Centre For Geriatric Care - Ground & 5th Fl,2311 McNicoll Ave,LTCH,Respiratory,Influenza A (H3N2),,2017-01-18,2017-02-02,N,
Kennedy Lodge,1400 Kennedy Rd,LTCH,Respiratory,Influenza A (H3),Coronavirus,2017-01-18,2017-01-29,N,
St. Joseph's Health Centre - 4M,30 The Queensway,Hospital-Acute Care,Respiratory,Influenza A (Not subtyped),,2017-01-18,2017-01-30,N,
Chartwell Scarlett Heights Retirement Residence,4005 Eglinton Ave W,Retirement Home,Respiratory,Coronavirus,,2017-01-17,2017-02-02,N,
Deerwood Creek Care Community - 3A,70 Humberline Dr,LTCH,Respiratory,Influenza A (H3),,2017-01-17,2017-02-03,N,
Toronto Western Hospital - 4B,399 Bathurst St,Hospital-Acute Care,Respiratory,Influenza A (H3),,2017-01-17,2017-01-20,N,
Belmont House - 2W & 5W,55 Belmont St,LTCH,Respiratory,Influenza A (H3),Coronavirus,2017-01-17,2017-02-02,N,
William Osler Health System - 10th Level,101 Humber College Blvd,Hospital-Acute Care,Respiratory,Influenza A (H3),,2017-01-17,2017-01-25,N,
Elim Springs Retirement Residence,3838 Bloor St W,Retirement Home,Respiratory,Influenza A (H3),,2017-01-17,2017-01-29,N,
Village of Humber Heights - Brule,2245 Lawrence Ave W,LTCH,Respiratory,Respiratory syncytial virus,,2017-01-16,2017-02-06,N,
"Leisureworld Caregiving Centre - Rockcliffe - Ground,",3015 Lawrence Ave E - 1st & 2nd Fl,LTCH,Respiratory,Influenza A (H3),,2017-01-16,2017-01-27,N,
Baycrest Apotex Centre - 6EI,3560 Bathurst St,LTCH,Respiratory,Influenza A (H3),,2017-01-16,2017-01-24,N,
Extendicare Craiglee,102 Craiglee Dr,LTCH,Enteric,Norovirus-like,,2017-01-16,2017-02-02,N,
Scarborough and Rouge Hospital - General Campus -,3050 Lawrence Ave E - CP1,Hospital-Acute Care,Respiratory,Metapneumovirus,"Metapneumovirus, Coronavirus",2017-01-15,2017-01-30,N,
McCall Centre for Continuing Care - 3rd Fl Rehabilitation,140 Sherway Dr,Hospital-Chronic Care,Respiratory,Influenza A (H3),,2017-01-14,2017-01-23,N,
Fieldstone Commons Care Community,1000 Ellesmere Rd,LTCH,Respiratory,Influenza A (H3),,2017-01-14,2017-02-01,N,
McCall Centre for Continuing Care - 3rd Fl,140 Sherway Dr,Hospital-Chronic Care,Enteric,Norovirus-like,,2017-01-14,2017-01-25,N,
Atrium At Kew Beach,500 Kingston Rd,Retirement Home,Respiratory,Influenza A (H3),,2017-01-13,2017-01-29,N,
Hellenic Care For Seniors,215 Tyrrell Ave,LTCH,Respiratory,Influenza A (H3),Respiratory syncytial virus,2017-01-13,2017-01-31,N,
Momiji Health Care Society,3555 Kingston Rd,Retirement Home,Enteric,Norovirus-like,,2017-01-13,2017-01-26,N,
Cheltenham Care Community,5935 Bathurst St,LTCH,Respiratory,Respiratory syncytial virus,,2017-01-13,2017-02-06,N,
St. Hilda's Towers - Dufferin Tower - Transitional Care Unit,2339 Dufferin St - TCP & RIU,Retirement Home,Respiratory,Coronavirus,,2017-01-13,2017-01-23,N,
St. Hilda's Towers - Dufferin Tower - Transitional Care Unit,2339 Dufferin St,Retirement Home,Enteric,Unable to identify,,2017-01-13,2017-01-24,N,
Chartwell Lansing Retirement Residence,10 Senlac Rd,Retirement Home,Respiratory,Influenza A (H3),Coronavirus,2017-01-13,2017-01-27,N,
Vermont Square - 6th & 7th Fl,914 Bathurst St,LTCH,Respiratory,Influenza A (H3),,2017-01-12,2017-01-23,N,
Hawthorne Place Care Centre,2045 Finch Ave W,LTCH,Enteric,Unable to identify,,2017-01-12,2017-01-27,N,
Living Life On The Avenue Retirement Residence,1066 Avenue Rd,Retirement Home,Respiratory,Influenza A (H3N2),,2017-01-12,2017-01-24,N,
Amica At The Balmoral Club,155 Balmoral Ave,Retirement Home,Respiratory,Influenza A (H3),,2017-01-12,2017-01-23,N,
Sunnybrook Health Sciences Centre - LTSW,2075 Bayview Ave,LTCH,Respiratory,Respiratory syncytial virus,,2017-01-12,2017-01-27,N,
Cedarhurst Dementia Care Home - 2nd Fl,260 Bayview Ave,Retirement Home,Respiratory,Influenza A (H3),,2017-01-12,2017-01-24,N,
Dom Lipa Nursing Home,52 Neilson Dr,LTCH,Respiratory,Respiratory syncytial virus,,2017-01-11,2017-01-31,N,
Chartwell Guildwood Retirement Residence,65 Livingston Rd,Retirement Home,Respiratory,Influenza A (H3),,2017-01-11,2017-01-26,N,
Gibson Long Term Care,1925 Steeles Ave E,LTCH,Enteric,Norovirus-like,,2017-01-11,2017-02-11,N,
Sunnybrook Health Sciences Centre - D5,2075 Bayview Ave,Hospital-Acute Care,Respiratory,Influenza A (H3N2),,2017-01-11,2017-01-20,N,
Hawthorne Place Care Centre,2045 Finch Ave W,LTCH,Respiratory,Influenza A (H3),Coronavirus,2017-01-11,2017-01-23,N,
Toronto Rehabilitation Institute - Bickle Centre - North 4,130 Dunn Ave,Hospital-Chronic Care,Respiratory,Influenza A (H3),,2017-01-10,2017-01-19,N,
St. John's Rehabilitation Centre - A4,285 Cummer Ave,Hospital-Chronic Care,Respiratory,Influenza A (H3N2),,2017-01-10,2017-01-19,N,
West Park Healthcare Centre - 2EC,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Respiratory syncytial virus,,2017-01-10,2017-01-18,N,
Trilogy Long Term Care Home - 3rd & 5th Fl,340 McCowan Rd,LTCH,Respiratory,Influenza A (H3),Coronavirus,2017-01-10,2017-01-24,N,
Hellenic Home - Ground Fl,2411 Lawrence Ave E,LTCH,Respiratory,Coronavirus,Respiratory syncytial virus,2017-01-10,2017-01-27,N,
Kensington Place Retirement Residence,866 Sheppard Ave W,Retirement Home,Respiratory,Influenza A (H3N2),Parainfluenza type 1,2017-01-09,2017-01-21,N,
McCowan Retirement Residence,2881 Eglinton Ave E,Retirement Home,Respiratory,Influenza A (H3),,2017-01-09,2017-01-19,N,
North York General Hospital - 4N,4001 Leslie St,Hospital-Acute Care,Respiratory,Influenza A (H3),,2017-01-09,2017-01-17,N,
The Russell Hill Retirement Residence,262 St Clair Ave E,Retirement Home,Respiratory,Influenza A (H3),,2017-01-09,2017-01-23,N,
The Teddington Retirement Residence,4 Teddington Park Ave,Retirement Home,Respiratory,Influenza A (H3N2),,2017-01-09,2017-01-24,N,
St. George Care Community,225 St George St,LTCH,Respiratory,Influenza A (H3),"Coronavirus, Respiratory syncytial virus",2017-01-08,2017-01-21,N,
UHN Toronto Rehabilitation Institute - University Centre,550 University Ave - 6 South,Hospital-Chronic Care,Respiratory,Influenza A (H3),,2017-01-06,2017-01-13,N,
Providence Healthcare - B4,3276 St Clair Ave E,Hospital-Chronic Care,Respiratory,Influenza A (H3),"Metapneumovirus, Respiratory syncytial virus",2017-01-06,2017-01-20,N,
The O'Neill Centre - 5th Fl,33 Christie St,LTCH,Respiratory,Influenza A (H3),,2017-01-06,2017-01-23,N,
Chartwell Grenadier Retirement Residence,2100 Bloor St W,Retirement Home,Respiratory,Coronavirus,Respiratory syncytial virus,2017-01-06,2017-01-19,N,
Fairview Nursing Home - King Neighbourhood,14 Cross St,LTCH,Respiratory,Respiratory syncytial virus,,2017-01-06,2017-02-01,N,
Cheltenham Care Community,5935 Bathurst St,LTCH,Enteric,Unable to identify,,2017-01-06,2017-01-18,N,
Shepherd Lodge - 5th Fl,3760 Sheppard Ave E,LTCH,Enteric,Norovirus-like,,2017-01-06,2017-01-14,N,
The Claremont Retirement Residence,305 Balliol St,Retirement Home,Respiratory,Influenza A (H3),,2017-01-05,2017-01-16,N,
Centre for Addiction and Mental Health - Queen Site - GAU-A,1001 Queen St W,Hospital-Chronic Care,Enteric,Unable to identify,,2017-01-05,2017-01-11,N,
North York General Hospital - 6 West,4001 Leslie St,Hospital-Acute Care,Respiratory,Influenza A (H3),,2017-01-05,2017-01-10,N,
Hazelton Place Retirement Residence,111 Avenue Rd,Retirement Home,Respiratory,Respiratory syncytial virus,Coronavirus,2017-01-05,2017-01-16,N,
Rockcliffe Care Community,3015 Lawrence Ave E,LTCH,Enteric,Norovirus-like,,2017-01-05,2017-01-23,N,
"Providence Healthcare - Houses Of Providence - Fl 4, West",3276 St Clair Ave E,LTCH,Enteric,Norovirus-like,,2017-01-05,2017-01-18,N,
Villa Colombo - 1st - Fidani,40 Playfair Ave,LTCH,Respiratory,Influenza A (H3),,2017-01-04,2017-01-12,N,
Kensington Gardens - South Building - 4 East & West,25 Brunswick Ave,LTCH,Respiratory,Influenza A (H3),Respiratory syncytial virus,2017-01-04,2017-01-16,N,
Runnymede Healthcare Centre - 3rd Fl,625 Runnymede Rd,Hospital-Chronic Care,Respiratory,Influenza A (H3),Respiratory syncytial virus,2017-01-04,2017-01-16,N,
Kensington Gardens - North Building - 1 West,25 Brunswick Ave,LTCH,Respiratory,Respiratory syncytial virus,,2017-01-04,2017-01-13,N,
Tendercare Living Centre,1020 McNicoll Ave,LTCH,Respiratory,Influenza A (H3),Respiratory syncytial virus,2017-01-04,2017-01-28,N,
Sunnybrook Health Sciences Centre - D4,2075 Bayview Ave,Hospital-Acute Care,Respiratory,Influenza A (H3N2),,2017-01-03,2017-01-11,N,
Canterbury Place Retirement Residence,1 Canterbury Pl,Retirement Home,Respiratory,Influenza A (H3),Respiratory syncytial virus,2017-01-03,2017-01-28,N,
"Providence Healthcare - Houses Of Providence - Fl 1, West &",3276 St Clair Ave E - F3 East,LTCH,Respiratory,Influenza A (H3),,2017-01-03,2017-01-17,N,
Hellenic Home - 2B & Ground,2411 Lawrence Ave E,LTCH,Enteric,Norovirus-like,,2017-01-03,2017-01-09,N,
Scarborough Hospital - Birchmount Campus - 3A,3030 Birchmount Rd,Hospital-Acute Care,Respiratory,Influenza A (H3),,2017-01-03,2017-01-12,N,
Nisbet Lodge,740 Pape Ave,LTCH,Enteric,Unable to identify,,2017-01-02,2017-01-14,N,
Elm Grove Living Centre,35 Elm Grove Ave,LTCH,Respiratory,Respiratory syncytial virus,,2017-01-02,2017-01-19,N,
Extendicare Bayview,550 Cummer Ave,LTCH,Respiratory,Influenza A (H3),,2017-01-02,2017-01-13,N,
Elm Grove Living Centre - 1st Fl,35 Elm Grove Ave,LTCH,Enteric,Norovirus-like,,2017-01-02,2017-01-11,N,
Toronto Western Hospital - 8A & 8B,399 Bathurst St,Hospital-Acute Care,Respiratory,Influenza A (H3),,2017-01-02,2017-01-12,N,
Greenview Lodge,880 Lawrence Ave E,Retirement Home,Enteric,Unable to identify,,2017-01-01,2017-01-16,N,
Providence Healthcare - A5 East,3276 St Clair Ave E,Hospital-Chronic Care,Respiratory,Influenza A (H3),Respiratory syncytial virus,2017-01-01,2017-01-10,N,
Drs. Paul and John Rekai Centre,345 Sherbourne St,LTCH,Respiratory,Influenza A (H3N2),,2017-01-01,2017-01-20,N,
Toronto Grace Health Centre - Unit 2 & 3,47 Austin Terr,Hospital-Chronic Care,Respiratory,Influenza A (H3),,2017-01-01,2017-01-12,N,
