Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent,Etiological Agent2,Date Outbreak Began,Date Declared Over,Active
The Kensington Place Retirement Residence,866 Sheppard Ave W,Retirement Home,Respiratory,Unable to identify,,2018-01-16,2018-01-24,N
The O'Neill Centre,33 Christie St,LTCH,Respiratory,Influenza A (H3),,2018-01-16,2018-02-05,N
Westside,1145 Albion Rd,LTCH,Enteric,Unable to identify,,2018-01-16,2018-02-07,N
Belmont House - 5WW,55 Belmont St,LTCH,Respiratory,Unable to identify,,2018-01-15,2018-01-22,N
Bendale Acres Nursing Home,2920 Lawrence Ave E,LTCH,Respiratory,Influenza A (H3),,2018-01-15,2018-02-02,N
Cummer Lodge - Grd Fl,205 Cummer Ave,LTCH,Respiratory,Unable to identify,,2018-01-15,2018-01-25,N
"Fieldstone Commons - 1A, 3A & 4A",1000 Ellesmere Rd,LTCH,Respiratory,Influenza A (Not subtyped),Influenza B,2018-01-15,2018-01-25,N
Providence Healthcare - Houses of Providence - HOP 4E Sumac,3276 St Clair Ave E,LTCH,Respiratory,Influenza A (Not subtyped),,2018-01-15,2018-01-27,N
Tony Stacey Centre for Veterans Care,59 Lawson Rd,LTCH,Respiratory,Influenza A (H3),,2018-01-15,2018-01-30,N
Valleyview Residence,541 Finch Ave W,LTCH,Respiratory,Influenza B,,2018-01-15,2018-02-07,N
Chartwell White Eagle Long Term Care Residence,138 Dowling Ave,LTCH,Respiratory,Influenza A (H3),,2018-01-13,2018-01-28,N
Scarborough and Rouge Hospital - Birchmount Site - 4A,3030 Birchmount Rd,Hospital-Acute Care,Respiratory,Influenza A (Not subtyped),,2018-01-13,2018-01-23,N
Villa Colombo - 2 Fusco,40 Playfair Ave,LTCH,Enteric,Norovirus-like,,2018-01-13,2018-01-28,N
Castleview Wychwood Towers - 7th Fl,351 Christie St,LTCH,Respiratory,Influenza B,,2018-01-12,2018-01-20,N
Kipling Acres,2233 Kipling Ave,LTCH,Respiratory,Influenza B,Respiratory syncytial virus,2018-01-12,2018-02-16,N
Salvation Army Toronto Grace Health Centre - Rehab Unit -,650 Church St - 5th Fl,Hospital-Chronic Care,Respiratory,Influenza B,,2018-01-12,2018-01-20,N
Amica at the Balmoral Club,155 Balmoral Ave,Retirement Home,Respiratory,Influenza A (H3),,2018-01-11,2018-01-25,N
Lakeside Long Term Care Centre,150 Dunn Ave,LTCH,Respiratory,Metapneumovirus,,2018-01-11,2018-01-22,N
St. John's Rehabilitation Hospital - A3,285 Cummer Ave,Hospital-Chronic Care,Respiratory,Influenza A (H3N2),,2018-01-11,2018-01-18,N
St. Joseph's Healthcare Centre - 4M Medicine/Telemetry,30 The Queensway,Hospital-Acute Care,Respiratory,Influenza A (H3N2),Respiratory syncytial virus,2018-01-11,2018-01-31,N
Villa Colombo,40 Playfair Ave,LTCH,Respiratory,Influenza A (H3),Influenza B,2018-01-11,2018-01-23,N
Village of Humber Heights Retirement Home - 2nd Fl - Egerton,2245 Lawrence Ave W,Retirement Home,Respiratory,Unable to identify,,2018-01-11,2018-01-29,N
Forest Hill Place,645 Castlefield Ave,Retirement Home,Enteric,Norovirus-like,,2018-01-10,2018-01-25,N
Lakeshore Lodge - 2 North,3197 Lake Shore Blvd W,LTCH,Respiratory,Respiratory syncytial virus,,2018-01-10,2018-01-22,N
Scarborough and Rouge Hopsital - General Site - Tower 7,3050 Lawrence Ave E,Hospital-Acute Care,Enteric,Norovirus-like,,2018-01-10,2018-01-19,N
Altamont Care Community,92 Island Rd,LTCH,Respiratory,Influenza B,,2018-01-09,2018-01-22,N
Chartwell Gibson Long Term Care Residence,1925 Steeles Ave E,LTCH,Respiratory,Influenza A (H3),"Influenza B, Respiratory syncytial virus",2018-01-09,2018-02-06,N
Wesburn Manor,400 The West Mall,LTCH,Respiratory,Influenza A (H3),Influenza B,2018-01-09,2018-01-30,N
Weston Terrace Care Community,2005 Lawrence Ave W,LTCH,Respiratory,Influenza A (Not subtyped),Respiratory syncytial virus,2018-01-09,2018-01-24,N
Cedarvale Terrace,429 Walmer Rd,LTCH,Respiratory,Influenza A (H3),,2018-01-08,2018-01-18,N
Copernicus Lodge Independent Living,66 Roncesvalles Ave,Retirement Home,Enteric,Unable to identify,,2018-01-08,2018-02-04,N
Fairview Nursing Home,14 Cross St,LTCH,Respiratory,Influenza A (H3),Influenza B,2018-01-08,2018-01-23,N
Hellenic Home - Scarborough  - Unit 3B,2411 Lawrence Ave E,LTCH,Respiratory,Influenza A (H3),,2018-01-08,2018-02-05,N
Kensington Place Retirement Residence,866 Sheppard Ave W,Retirement Home,Enteric,Norovirus-like,,2018-01-08,2018-01-16,N
McCowan Retirement Residence,2881 Eglinton Ave E,Retirement Home,Respiratory,Influenza B,,2018-01-08,2018-01-19,N
Rose of Sharon Long Term Care Home,17 Maplewood Ave,LTCH,Respiratory,Influenza B,,2018-01-08,2018-01-22,N
St. Bernard's Residence,685 Finch Ave W,Retirement Home,Respiratory,Unable to identify,,2018-01-08,2018-01-20,N
Tendercare Living Centre,1020 McNicoll Ave,LTCH,Respiratory,Influenza B,,2018-01-08,2018-01-23,N
The Millwood,921 Millwood Rd,Retirement Home,Respiratory,Influenza B,,2018-01-08,2018-01-22,N
Sunnybrook Health Sciences Centre - K2C,2075 Bayview Ave,LTCH,Enteric,Norovirus-like,,2018-01-07,2018-01-12,N
Better Living at Thompson House - 4th Fl,1 Overland Dr,LTCH,Respiratory,Unable to identify,,2018-01-06,2018-01-22,N
Bridgepoint Active Healthcare - 3N,1 Bridgepoint Dr,Hospital-Chronic Care,Respiratory,Influenza A (Not subtyped),,2018-01-06,2018-01-12,N
Carefirst Transitional Care Centre,300 Silver Star Blvd,Retirement Home,Respiratory,Unable to identify,,2018-01-05,2018-01-19,N
Dom Lipa Nursing Home,52 Neilson Dr,LTCH,Enteric,Unable to identify,,2018-01-05,2018-01-19,N
Downsview Long Term Care Centre,3595 Keele St,LTCH,Respiratory,Influenza A (Not subtyped),"Influenza B, Metapneumovirus",2018-01-05,2018-01-31,N
The Annex,123 Spadina Rd,Retirement Home,Respiratory,Influenza A (H3),,2018-01-05,2018-01-16,N
The Wexford,1860 Lawrence Ave E,LTCH,Respiratory,Influenza A (H3),Respiratory syncytial virus,2018-01-05,2018-02-02,N
Kensington Gardens South - 1 West & 2 West,25 Brunswick Ave,LTCH,Respiratory,Influenza B,,2018-01-04,2018-01-19,N
Moll Berczy Haus - 4th Fl,1020 McNicoll Ave,Retirement Home,Respiratory,Influenza A (H3),,2018-01-04,2018-01-18,N
Sunnybrook Health Sciences Centre - C4,2075 Bayview Ave,Hospital-Acute Care,Respiratory,Influenza A (H3N2),,2018-01-04,2018-01-12,N
Sunnybrook Health Sciences Centre - K1W,2075 Bayview Ave,LTCH,Respiratory,Influenza B,Respiratory syncytial virus,2018-01-04,2018-01-26,N
The Teddington Retirement Residence,4 Teddington Park Ave,Retirement Home,Respiratory,Influenza B,,2018-01-04,2018-01-19,N
Carefree Lodge - Main & 2nd Fl,306 Finch Ave E,LTCH,Respiratory,Respiratory syncytial virus,,2018-01-03,2018-01-19,N
Chester Village - 2nd Fl East & 4th Fl (East &west),3555 Danforth Ave,LTCH,Respiratory,Influenza A (Not subtyped),,2018-01-03,2018-01-15,N
Copernicus Lodge,66 Roncesvalles Ave,LTCH,Enteric,Norovirus-like,,2018-01-03,2018-01-30,N
Shepherd Lodge,3760 Sheppard Ave E,LTCH,Respiratory,"Influenza A (H3), Parainfluenza type 1",Respiratory syncytial virus,2018-01-03,2018-01-29,N
West Park Healthcare Centre - Acute Brain Injury Unit,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Unable to identify,,2018-01-03,2018-01-11,N
Extendicare Craiglee,102 Craiglee Dr,LTCH,Respiratory,Influenza B,,2018-01-02,2018-01-29,N
Mount Sinai Hospital - 10 North & 10 South,600 University Ave,Hospital-Acute Care,Enteric,Unable to identify,,2018-01-02,2018-01-12,N
North York General Hospital - Seniors' Health Centre,2 Buchan Crt,LTCH,Enteric,Norovirus-like,,2018-01-02,2018-01-17,N
Rockcliffe Care Community,3015 Lawrence Ave E,LTCH,Respiratory,Influenza B,Metapneumovirus,2018-01-02,2018-01-30,N
Shepherd Lodge,3760 Sheppard Ave E,LTCH,Enteric,Norovirus-like,,2018-01-02,2018-01-22,N
Sunnybrook Health Sciences Centre - LFSE & LFSW,2075 Bayview Ave,LTCH,Enteric,Norovirus-like,,2018-01-02,2018-01-16,N
Retirement Suites by the Lake,2121 Kingston Rd,Retirement Home,Enteric,Norovirus-like,,2018-01-01,2018-01-05,N
St. Clair O'Connor Nursing Home,2701 St Clair Ave E,LTCH,Enteric,Unable to identify,,2018-01-01,2018-01-08,N
